period_start,review_count,high_score_ratio,average_rating
2023-09-25,2357,0.3979635129401782,2.938481120067883
2023-10-02,2360,0.3923728813559322,2.8800847457627117
2023-10-09,2245,0.4173719376391982,2.98173719376392
2023-10-16,2367,0.41191381495564006,2.9809885931558937
2023-10-23,2230,0.4008968609865471,2.952017937219731
2023-10-30,2265,0.3991169977924945,2.9236203090507726
2023-11-06,2425,0.40494845360824744,2.975257731958763
2023-11-13,2289,0.4119702927042377,2.9960681520314547
2023-11-20,2300,0.4160869565217391,3.006086956521739
2023-11-27,2387,0.40343527440301635,2.9811478843736907
2023-12-04,2385,0.41844863731656184,2.99958071278826
2023-12-11,2425,0.4057731958762887,2.995463917525773
2023-12-18,2477,0.39523617278966494,2.973354864755753
2023-12-25,2590,0.41621621621621624,3.0154440154440154
2024-01-01,2703,0.42582315945246024,3.036256011838698
2024-01-08,2425,0.43463917525773194,3.0841237113402062
2024-01-15,2613,0.4048985840030616,2.984309223115193
2024-01-22,2568,0.40654205607476634,2.975467289719626
2024-01-29,2584,0.4326625386996904,3.0506965944272446
2024-02-05,2653,0.4104787033546928,2.9898228420655864
2024-02-12,2654,0.4065561416729465,2.964958553127355
2024-02-19,2596,0.39599383667180277,2.9117873651771955
2024-02-26,3282,0.3829981718464351,2.9018890920170626
2024-03-04,2950,0.4308474576271186,3.0461016949152544
2024-03-11,3251,0.4014149492463857,2.922485389111043
2024-03-18,3490,0.4020057306590258,2.929226361031519
2024-03-25,3027,0.4103072348860258,2.959696068714899
2024-04-01,2932,0.40586630286493863,2.9638472032742156
2024-04-08,3044,0.39487516425755587,2.921484888304862
2024-04-15,3076,0.4131989596879064,2.9518855656697007
2024-04-22,3354,0.4084675014907573,2.9546809779367917
2024-04-29,3184,0.4108040201005025,2.9868090452261304
2024-05-06,2892,0.4173582295988935,2.9789073305670817
2024-05-13,2883,0.404786680541103,2.9375650364203953
2024-05-20,2967,0.42264914054600605,2.9925851027974386
2024-05-27,2914,0.42210020590253944,3.0171585449553877
2024-06-03,3139,0.40968461293405545,2.9662312838483595
2024-06-10,3045,0.4042692939244663,2.914285714285714
2024-06-17,3163,0.39392981346822636,2.9143218463484035
2024-06-24,3092,0.41461836998706336,2.988033635187581
2024-07-01,2982,0.40710932260228033,2.9419852448021464
2024-07-08,2880,0.41631944444444446,2.963888888888889
2024-07-15,3050,0.3832786885245902,2.860327868852459
2024-07-22,2948,0.378561736770692,2.853799185888738
2024-07-29,3228,0.34386617100371747,2.7252168525402727
2024-08-05,3087,0.43602202785876254,3.0346614836410755
2024-08-12,3144,0.40076335877862596,2.9309796437659035
2024-08-19,2984,0.3770107238605898,2.859249329758713
2024-08-26,3098,0.40187217559715943,2.920916720464816
2024-09-02,2934,0.38684389911383776,2.8752556237218814
2024-09-09,2974,0.38702084734364495,2.870544720914593
2024-09-16,3286,0.39409616555082166,2.915702982349361
2024-09-23,3557,0.4321057070565083,3.0430137756536406
2024-09-30,3250,0.3926153846153846,2.9252307692307693
2024-10-07,3329,0.38269750675878644,2.9101832382096724
2024-10-14,3741,0.45228548516439454,3.120556001069233
2024-10-21,4510,0.39977827050997783,2.9
2024-10-28,5485,0.44339106654512306,3.0395624430264356
2024-11-04,6015,0.4362427265170407,2.9958437240232754
2024-11-11,6594,0.4723991507430998,3.1006976038823173
2024-11-18,6617,0.4414387184524709,2.9950128457004683
2024-11-25,6172,0.474400518470512,3.104342190537913
2024-12-02,7189,0.46571150368618724,3.071219919321185
2024-12-09,6763,0.44225935235842084,2.997634186012125
2024-12-16,6389,0.46689622789168883,3.0870245734856785
2024-12-23,6049,0.4734666887088775,3.094561084476773
2024-12-30,6560,0.481859756097561,3.1278963414634147
2025-01-06,6384,0.48120300751879697,3.119360902255639
2025-01-13,6976,0.46961009174311924,3.0847190366972477
2025-01-20,7200,0.4934722222222222,3.175
2025-01-27,7984,0.5103957915831663,3.224198396793587
2025-02-03,8346,0.5294751976994968,3.2730649412892405
2025-02-10,9239,0.5236497456434679,3.2658296352419094
2025-02-17,9392,0.5325809199318569,3.285136286201022
2025-02-24,11940,0.5080402010050251,3.2306532663316583
2025-03-03,10983,0.5269052171537831,3.287808431211873
